Index,DS,LKMM Prod (ns),User Cons (ns),User Prod (ns),LKMM Cons (ns),E2E (ns),Tput (Mop/s),Relay %
1,MSQueue,181,269,157,459,1066,0.94,100
2,MSQueue,182,234,151,298,865,1.16,100
3,MSQueue,172,240,188,333,933,1.07,100
4,MSQueue,141,241,139,308,829,1.21,100
5,MSQueue,163,258,156,333,910,1.10,100
6,MSQueue,147,232,139,371,889,1.12,100
7,MSQueue,184,230,131,397,942,1.06,100
8,MSQueue,135,250,152,302,839,1.19,100
9,MSQueue,136,261,164,322,883,1.13,100
10,MSQueue,156,242,146,367,911,1.10,100
11,Folly SPSC,88,98,45,68,299,3.34,100
12,Folly SPSC,89,96,58,65,308,3.25,100
13,Folly SPSC,91,95,56,58,300,3.33,100
14,Folly SPSC,114,93,56,54,317,3.15,100
15,Folly SPSC,84,105,62,55,306,3.27,100
16,Folly SPSC,84,93,58,68,303,3.30,100
17,Folly SPSC,92,101,56,54,303,3.30,100
18,Folly SPSC,91,91,52,81,315,3.17,100
19,Folly SPSC,74,104,44,54,276,3.62,100
20,Folly SPSC,86,96,45,55,282,3.55,100
21,CK FIFO SPSC,104,106,146,45,401,2.49,100
22,CK FIFO SPSC,100,117,172,58,447,2.24,100
23,CK FIFO SPSC,62,102,165,59,388,2.58,100
24,CK FIFO SPSC,52,2403,146,56,2657,0.38,100
25,CK FIFO SPSC,58,101,121,50,330,3.03,100
26,CK FIFO SPSC,51,100,145,55,351,2.85,100
27,CK FIFO SPSC,62,96,174,67,399,2.51,100
28,CK FIFO SPSC,97,102,147,55,401,2.49,100
29,CK FIFO SPSC,87,102,202,59,450,2.22,100
30,CK FIFO SPSC,58,96,106,56,316,3.16,100
31,CK Ring SPSC,76,156,112,52,396,2.53,100
32,CK Ring SPSC,124,122,87,83,416,2.40,100
33,CK Ring SPSC,76,112,82,55,325,3.08,100
34,CK Ring SPSC,93,129,90,43,355,2.82,100
35,CK Ring SPSC,82,142,108,57,389,2.57,100
36,CK Ring SPSC,91,131,111,52,385,2.60,100
37,CK Ring SPSC,73,113,76,51,313,3.19,100
38,CK Ring SPSC,77,130,94,55,356,2.81,100
39,CK Ring SPSC,75,116,80,57,328,3.05,100
40,CK Ring SPSC,77,152,107,55,391,2.56,100
41,CK Stack UPMC,134,124,134,137,529,1.89,100
42,CK Stack UPMC,130,130,147,179,586,1.71,100
43,CK Stack UPMC,145,150,154,126,575,1.74,100
44,CK Stack UPMC,124,122,139,126,511,1.96,100
45,CK Stack UPMC,132,142,139,125,538,1.86,100
46,CK Stack UPMC,130,125,166,124,545,1.83,100
47,CK Stack UPMC,103,143,175,123,544,1.84,100
48,CK Stack UPMC,189,128,144,122,583,1.72,100
49,CK Stack UPMC,128,132,141,120,521,1.92,100
50,CK Stack UPMC,139,115,139,115,508,1.97,100
51,IOURING_LIBURING Ring,122,164,102,65,453,2.21,100
52,IOURING_LIBURING Ring,141,165,102,47,455,2.20,100
53,IOURING_LIBURING Ring,114,170,88,41,413,2.42,100
54,IOURING_LIBURING Ring,112,177,96,42,427,2.34,100
55,IOURING_LIBURING Ring,112,171,86,49,418,2.39,100
56,IOURING_LIBURING Ring,125,163,91,52,431,2.32,100
57,IOURING_LIBURING Ring,153,163,94,37,447,2.24,100
58,IOURING_LIBURING Ring,117,163,112,53,445,2.25,100
59,IOURING_LIBURING Ring,123,162,83,95,463,2.16,100
60,IOURING_LIBURING Ring,113,164,91,53,421,2.38,100
